who_id,spatial_type,country_code,region,sex,prevalence,ci_low,ci_high,year
8837078,Country,GEO,Europe,Male,15.049971,8.7973547,22.634993,2003
8837874,Country,ALB,Europe,Both sexes,21.201094,9.7151031,37.533203,2010
8838538,Country,DNK,Europe,Male,24.655523,16.524748,34.032093,2002
8840108,Country,ECU,Americas,Male,17.434893,8.9882088,28.370667,2021
8842355,Country,KEN,Africa,Male,8.991168,4.91506,14.339912,2014
8843472,Country,BEN,Africa,Female,20.294455,8.3473558,37.801952,2022
8844359,Country,ZAF,Africa,Male,45.59388,35.741871,55.088287,2002
8845005,Country,TUR,Europe,Male,32.394047,24.557053,40.654442,2010
8845039,Country,MDA,Europe,Male,12.713679,8.0235596,18.451862,2015
8845224,Region,AFR,,Male,14.660196,11.012055,19.437614,2020
8845784,Country,NZL,Western Pacific,Both sexes,21.155128,14.942158,28.116905,2000
8846031,Country,CZE,Europe,Both sexes,23.878506,17.339422,31.009827,2002
8846696,Country,CMR,Africa,Female,23.561466,7.2227211,47.939075,2011
8848543,Country,MWI,Africa,Both sexes,3.1716726,1.5124021,5.6521082,2020
8851653,Country,CAN,Americas,Both sexes,32.082649,26.850775,37.685059,2012
8852496,Country,GNQ,Africa,Male,17.745071,6.4010987,36.533104,2008
8852686,Country,CUB,Americas,Female,52.129238,37.698162,66.338638,2008
8853745,World Bank Income Group,WB_UMI,,Both sexes,21.794121,18.748451,25.217911,2002
8854175,Country,AUT,Europe,Both sexes,22.42528,18.710402,26.258299,2017
8854570,Country,IRN,Eastern Mediterranean,Female,51.103474,43.116936,58.828617,2016
8854756,Country,IRL,Europe,Male,27.79792,22.184914,34.098118,2009
8855231,Country,VUT,Western Pacific,Female,12.354406,5.806963,21.6019,2008
8858319,Region,EMR,,Female,45.968613,39.542088,52.344692,2019
8859037,Country,AUS,Western Pacific,Male,22.206331,12.51483,34.789822,2001
8860187,Country,STP,Africa,Male,13.565838,7.6336212,21.109238,2008
8860886,Country,TLS,South-East Asia,Both sexes,18.18771,8.6282749,30.658855,2003
